208.0024,442.9959,398.0058,669.9909
207.9903,443.0062,398.0032,669.9988
208.0041,443.0009,397.9935,670.0008
208.0014,443.0085,397.9935,669.9937
207.9976,443.0055,398.0054,670.0013
208.0081,443.005,398.0087,670.0002
207.9986,443.007,398.0055,669.9963
208.0082,443.0094,398.007,670.0005
207.9952,443.0027,398.0014,669.9956
207.9989,442.9945,398.0044,669.9929
208.0055,443.008,398.0038,669.9968
208.0064,443.0074,398.0006,669.9939
208.0029,442.9959,398.0053,670.001
207.9909,443.0039,397.9911,669.9995
208.0008,443.0066,398.0059,669.9989
208.0059,443.0028,398.0095,669.9911
207.9955,443.0008,397.9968,670.0045
208.0054,442.9911,398.0075,670.0008
208.0092,443.0012,398.0076,670.0055
207.9986,442.9982,398.0095,669.9914
646.0041,461.0047,356.0024,622.005
645.9986,461.0036,355.9945,622.0095
646.0001,460.9903,355.9984,621.996
646.0032,460.9978,355.9972,622.0088
646.0087,461.004,356.0032,622.004
646.0052,461.0006,355.9948,622.0043
645.9918,460.9924,355.9997,622.0004
646.0006,460.9992,356.0019,621.9947
645.9939,460.9943,356.0097,622.0026
646.0079,460.9942,356.002,621.9979
645.9946,460.9904,356.004,622.0079
645.9982,460.9911,356.0066,621.9968
646.0052,460.9997,355.9908,622.0003
645.9903,460.9956,355.9945,621.9921
645.998,461.0043,356.0026,622.0087
645.9935,460.9944,355.9933,621.9974
645.9987,460.993,356.01,621.9965
645.9972,461.002,356.0045,622.0019
646.0024,460.9985,355.9997,621.9906
645.9996,460.9962,355.9975,621.9948
1064.506,434.9983,347.0051,648.0063
1064.504,435.0097,347.0084,647.992
1064.5039,435.0009,346.9906,648.0075
1064.5053,434.9939,346.9948,647.994
1064.497,434.9948,347.0005,648.0042
1064.5069,434.995,346.9961,647.9993
1064.5035,435.0058,346.9999,647.9931
1064.4919,435.0074,346.9979,648.0079
1064.4957,434.993,347.0041,648.0097
1064.4926,435.0025,346.9916,648.0066
1064.4934,434.9922,347.004,648.0088
1064.4962,435.0089,346.9927,648.0033
1064.4937,435.0033,346.9975,647.9905
1064.5083,435.0036,346.9998,648.0018
1064.4993,435.0098,347.005,648.0013
1064.5072,434.9928,346.9991,647.9928
1064.4959,434.9932,346.9924,647.9985
1064.5058,434.9941,346.9951,648.0092
1064.4964,435.0091,347.008,648.0027
1064.5079,434.9906,346.9959,647.9915
1509.004,448.0034,351.9921,692.0023
